01191;IZENAVE                               ;01430;IZENAVE                               
01192;IZERNORE                              ;01580;IZERNORE                              
01193;IZIEU                                 ;01300;IZIEU                                 
01194;JASSANS RIOTTIER                      ;01480;JASSANS RIOTTIER                      
01195;JASSERON                              ;01250;JASSERON                              
01196;JAYAT                                 ;01340;JAYAT                                 
01197;JOURNANS                              ;01250;JOURNANS                              
01198;JOYEUX                                ;01800;JOYEUX                                
01199;JUJURIEUX                             ;01640;JUJURIEUX                             
01200;LABALME                               ;01450;LABALME                               
01202;LAGNIEU                               ;01150;LAGNIEU                               
01203;LAIZ                                  ;01290;LAIZ                                  
01204;LALLEYRIAT                            ;01130;LALLEYRIAT                            
01205;LANCRANS                              ;01200;LANCRANS                              
01206;LANTENAY                              ;01430;LANTENAY                              
01207;LAPEYROUSE                            ;01330;LAPEYROUSE                            
01208;LAVOURS                               ;01350;LAVOURS                               
01209;LEAZ                                  ;01200;LEAZ                                  
01210;LELEX                                 ;01410;LELEX                                 
01211;LENT                                  ;01240;LENT                                  
01212;LESCHEROUX                            ;01560;LESCHEROUX                            
01213;LEYMENT                               ;01150;LEYMENT                               
01214;LEYSSARD                              ;01450;LEYSSARD                              
01215;LHOPITAL                              ;01420;LHOPITAL                              
01216;LHUIS                                 ;01680;LHUIS                                 
01218;LOCHIEU                               ;01260;LOCHIEU                               
01219;LOMPNAS                               ;01680;LOMPNAS                               
01221;LOMPNIEU                              ;01260;LOMPNIEU                              
01224;LOYETTES                              ;01360;LOYETTES                              
01225;LURCY                                 ;01090;LURCY                                 
01227;MAGNIEU                               ;01300;MAGNIEU                               
01228;MAILLAT                               ;01430;MAILLAT                               
01229;MALAFRETAZ                            ;01340;MALAFRETAZ                            
01230;MANTENAY MONTLIN                      ;01560;MANTENAY MONTLIN                      
01231;MANZIAT                               ;01570;MANZIAT                               
01232;MARBOZ                                ;01851;MARBOZ                                
01233;MARCHAMP                              ;01680;MARCHAMP                              
01234;MARIGNIEU                             ;01300;MARIGNIEU                             
01235;MARLIEUX                              ;01240;MARLIEUX                              
01236;MARSONNAS                             ;01340;MARSONNAS                             
01237;MARTIGNAT                             ;01100;MARTIGNAT                             
01238;MASSIEUX                              ;01600;MASSIEUX                              
01239;MASSIGNIEU DE RIVES                   ;01300;MASSIGNIEU DE RIVES                   
01240;MATAFELON GRANGES                     ;01580;MATAFELON GRANGES                     
01241;MEILLONNAS                            ;01370;MEILLONNAS                            
01242;MERIGNAT                              ;01450;MERIGNAT                              
01243;MESSIMY SUR SAONE                     ;01480;MESSIMY SUR SAONE                     
01244;MEXIMIEUX                             ;01800;MEXIMIEUX                             
01245;BOHAS MEYRIAT RIGNAT                  ;01250;BOHAS MEYRIAT RIGNAT                  
01246;MEZERIAT                              ;01660;MEZERIAT                              
01247;MIJOUX                                ;01170;MIJOUX                                
01247;MIJOUX                                ;01410;MIJOUX                                
01248;MIONNAY                               ;01390;MIONNAY                               
01249;MIRIBEL                               ;01700;MIRIBEL                               
01250;MISERIEUX                             ;01600;MISERIEUX                             
01252;MOGNENEINS                            ;01140;MOGNENEINS                            
01254;MONTAGNAT                             ;01250;MONTAGNAT                             
01255;MONTAGNIEU                            ;01470;MONTAGNIEU                            
01257;MONTANGES                             ;01200;MONTANGES                             
01258;MONTCEAUX                             ;01090;MONTCEAUX                             
01259;MONTCET                               ;01310;MONTCET                               
01260;LE MONTELLIER                         ;01800;LE MONTELLIER                         
01261;MONTHIEUX                             ;01390;MONTHIEUX                             
01262;MONTLUEL                              ;01120;MONTLUEL                              
01263;MONTMERLE SUR SAONE                   ;01090;MONTMERLE SUR SAONE                   
01264;MONTRACOL                             ;01310;MONTRACOL                             
01265;MONTREAL LA CLUSE                     ;01460;MONTREAL LA CLUSE                     
01266;MONTREVEL EN BRESSE                   ;01340;MONTREVEL EN BRESSE                   
01267;NURIEUX VOLOGNAT                      ;01460;NURIEUX VOLOGNAT                      
01268;MURS ET GELIGNIEUX                    ;01300;MURS ET GELIGNIEUX                    
01269;NANTUA                                ;01130;NANTUA                                
01269;NANTUA                                ;01460;NANTUA                                
01271;NATTAGES                              ;01300;NATTAGES                              
01272;NEUVILLE LES DAMES                    ;01400;NEUVILLE LES DAMES                    
01273;NEUVILLE SUR AIN                      ;01160;NEUVILLE SUR AIN                      
01274;LES NEYROLLES                         ;01130;LES NEYROLLES                         
01275;NEYRON                                ;01700;NEYRON                                
01276;NIEVROZ                               ;01120;NIEVROZ                               
01277;NIVOLLET MONTGRIFFON                  ;01230;NIVOLLET MONTGRIFFON                  
01279;ONCIEU                                ;01230;ONCIEU                                
01280;ORDONNAZ                              ;01510;ORDONNAZ                              
01281;ORNEX                                 ;01210;ORNEX                                 
01282;OUTRIAZ                               ;01430;OUTRIAZ                               
01283;OYONNAX                               ;01100;OYONNAX                               
01284;OZAN                                  ;01190;OZAN                                  
01285;PARCIEUX                              ;01600;PARCIEUX                              
01286;PARVES                                ;01300;PARVES                                
01288;PERON                                 ;01630;PERON                                 
01289;PERONNAS                              ;01960;PERONNAS                              
01290;PEROUGES                              ;01800;PEROUGES                              
01291;PERREX                                ;01540;PERREX                                
01292;LE PETIT ABERGEMENT                   ;01260;LE PETIT ABERGEMENT                   
01293;PEYRIAT                               ;01430;PEYRIAT                               
01294;PEYRIEU                               ;01300;PEYRIEU                               
